# Plot Line Tracer Export
# Calibration Data
# BottomLeft: PixelX=125, PixelY=363.45001220703125, PlotX=2020, PlotY=0
# TopRight: PixelX=733, PixelY=19.45001220703125, PlotX=2050, PlotY=8.5
# Data
Line,Point,PixelX,PixelY,PlotX,PlotY
32,10,475.00,117.45,2037.269737,6.078488
32,11,514.00,102.45,2039.194079,6.449128
32,12,538.00,72.45,2040.378289,7.190407
32,13,557.00,41.45,2041.315789,7.956395
32,14,569.00,22.45,2041.907895,8.425872
33,1,105.00,371.45,2019.013158,-0.197674
33,2,137.00,354.45,2020.592105,0.222384
33,3,159.00,330.45,2021.677632,0.815407
33,4,190.00,295.45,2023.207237,1.680233
33,5,218.00,277.45,2024.588816,2.125000
33,6,234.00,242.45,2025.378289,2.989826
33,7,251.00,202.45,2026.217105,3.978198
33,8,263.00,174.45,2026.809211,4.670058
33,9,278.00,138.45,2027.549342,5.559593
33,10,300.00,107.45,2028.634868,6.325581
33,11,326.00,79.45,2029.917763,7.017442
33,12,367.00,50.45,2031.940789,7.734012
33,13,399.00,23.45,2033.519737,8.401163
34,1,109.00,368.45,2019.210526,-0.123547
34,2,127.00,354.45,2020.098684,0.222384
34,3,150.00,339.45,2021.233553,0.593023
34,4,167.00,323.45,2022.072368,0.988372
34,5,181.00,303.45,2022.763158,1.482558
34,6,192.00,292.45,2023.305921,1.754360
34,7,211.00,280.45,2024.243421,2.050872
34,8,227.00,253.45,2025.032895,2.718023
34,9,245.00,230.45,2025.921053,3.286337
34,10,260.00,209.45,2026.661184,3.805233
34,11,283.00,191.45,2027.796053,4.250000
34,12,317.00,176.45,2029.473684,4.620640
34,13,349.00,157.45,2031.052632,5.090116
34,14,378.00,134.45,2032.483553,5.658430
34,15,399.00,116.45,2033.519737,6.103198
34,16,422.00,91.45,2034.654605,6.720930
34,17,444.00,61.45,2035.740132,7.462209
34,18,469.00,21.45,2036.973684,8.450581
35,1,109.00,369.95,2019.210526,-0.160610
35,2,138.00,351.95,2020.641447,0.284157
35,3,176.00,316.95,2022.516447,1.148983
35,4,210.00,280.95,2024.194079,2.038518
35,5,235.00,244.95,2025.427632,2.928053
35,6,253.00,209.95,2026.315789,3.792878
35,7,275.00,182.95,2027.401316,4.460029
35,8,305.00,145.95,2028.881579,5.374274
35,9,326.00,126.95,2029.917763,5.843750
35,10,353.00,104.95,2031.250000,6.387355
35,11,373.00,86.95,2032.236842,6.832122
35,12,398.00,52.95,2033.470395,7.672239
35,13,416.00,23.95,2034.358553,8.388809
36,1,109.00,366.95,2019.210526,-0.086482
36,2,142.00,341.95,2020.838816,0.531250
36,3,181.00,313.95,2022.763158,1.223111
36,4,203.00,284.95,2023.848684,1.939681
36,5,233.00,246.95,2025.328947,2.878634
36,6,252.00,214.95,2026.266447,3.669332
36,7,272.00,198.95,2027.253289,4.064681
36,8,312.00,177.95,2029.226974,4.583576
36,9,346.00,159.95,2030.904605,5.028343
36,10,384.00,144.95,2032.779605,5.398983
36,11,420.00,134.95,2034.555921,5.646076
36,12,451.00,120.95,2036.085526,5.992006
36,13,496.00,100.95,2038.305921,6.486192
36,14,595.00,80.95,2043.190789,6.980378
36,15,727.00,59.95,2049.703947,7.499274
37,1,112.00,369.95,2019.358553,-0.160610
37,2,138.00,349.95,2020.641447,0.333576
37,3,171.00,323.95,2022.269737,0.976018
37,4,189.00,304.95,2023.157895,1.445495
37,5,206.00,287.95,2023.996711,1.865553
37,6,222.00,269.95,2024.786184,2.310320
37,7,233.00,252.95,2025.328947,2.730378
37,8,238.00,235.95,2025.575658,3.150436
37,9,243.00,224.95,2025.822368,3.422239
37,10,251.00,212.95,2026.217105,3.718750
37,11,259.00,204.95,2026.611842,3.916425
37,12,281.00,196.95,2027.697368,4.114099
37,13,311.00,184.95,2029.177632,4.410611
37,14,334.00,178.95,2030.312500,4.558867
37,15,353.00,167.95,2031.250000,4.830669
37,16,365.00,151.95,2031.842105,5.226018
37,17,375.00,138.95,2032.335526,5.547239
37,18,396.00,126.95,2033.371711,5.843750
37,19,415.00,115.95,2034.309211,6.115553
37,20,443.00,108.95,2035.690789,6.288518
37,21,497.00,95.95,2038.355263,6.609739
37,22,522.00,85.95,2039.588816,6.856832
37,23,544.00,70.95,2040.674342,7.227471
37,24,558.00,56.95,2041.365132,7.573402
37,25,579.00,45.95,2042.401316,7.845204
37,26,621.00,33.95,2044.473684,8.141715
37,27,673.00,24.95,2047.039474,8.364099
37,28,731.00,6.95,2049.901316,8.808867
38,1,114.00,364.95,2019.457237,-0.037064
38,2,149.00,338.95,2021.184211,0.605378
38,3,189.00,298.95,2023.157895,1.593750
38,4,207.00,280.95,2024.046053,2.038518
38,5,225.00,263.95,2024.934211,2.458576
38,6,244.00,243.95,2025.871711,2.952762
38,7,268.00,196.95,2027.055921,4.114099
38,8,286.00,162.95,2027.944079,4.954215
38,9,300.00,132.95,2028.634868,5.695495
38,10,323.00,94.95,2029.769737,6.634448
38,11,341.00,75.95,2030.657895,7.103925
38,12,361.00,46.95,2031.644737,7.820495
38,13,380.00,23.95,2032.582237,8.388809
39,1,105.00,372.95,2019.013158,-0.234738
39,2,140.00,344.95,2020.740132,0.457122
39,3,169.00,320.95,2022.171053,1.050146
39,4,182.00,309.95,2022.812500,1.321948
39,5,205.00,288.95,2023.947368,1.840843
39,6,229.00,259.95,2025.131579,2.557413
39,7,236.00,236.95,2025.476974,3.125727
39,8,254.00,190.95,2026.365132,4.262355
39,9,271.00,147.95,2027.203947,5.324855
